category	term	number_of_genes	number_of_genes_in_background	ncbiTaxonId	inputGenes	preferredNames	p_value	fdr	description
Component	GO.0005737	4	3684	7227	7227.FBpp0077788,7227.FBpp0088245,7227.FBpp0088443,7227.FBpp0099945	smo,ci,ptc,hh	0.0049	0.0216	cytoplasm
Component	GO.0005768	2	183	7227	7227.FBpp0077788,7227.FBpp0099945	smo,hh	0.001	0.0076	endosome
Component	GO.0005886	3	1085	7227	7227.FBpp0077788,7227.FBpp0088443,7227.FBpp0099945	smo,ptc,hh	0.0018	0.0098	plasma membrane
Component	GO.0005887	2	471	7227	7227.FBpp0077788,7227.FBpp0088443	smo,ptc	0.0066	0.0264	integral component of plasma membrane
Component	GO.0005929	2	122	7227	7227.FBpp0077788,7227.FBpp0088443	smo,ptc	0.00047000000000000004	0.0041	cilium
Component	GO.0016020	4	2553	7227	7227.FBpp0077788,7227.FBpp0088245,7227.FBpp0088443,7227.FBpp0099945	smo,ci,ptc,hh	0.0011	0.0076	membrane
Component	GO.0030139	2	21	7227	7227.FBpp0088443,7227.FBpp0099945	ptc,hh	1.56e-05	0.0006900000000000001	endocytic vesicle
Component	GO.0031410	3	324	7227	7227.FBpp0077788,7227.FBpp0088443,7227.FBpp0099945	smo,ptc,hh	5.03e-05	0.0011	cytoplasmic vesicle
Component	GO.0043227	4	4110	7227	7227.FBpp0077788,7227.FBpp0088245,7227.FBpp0088443,7227.FBpp0099945	smo,ci,ptc,hh	0.0076	0.0264	membrane-bounded organelle
Component	GO.0043229	4	4624	7227	7227.FBpp0077788,7227.FBpp0088245,7227.FBpp0088443,7227.FBpp0099945	smo,ci,ptc,hh	0.0122	0.0334	intracellular organelle
Function	GO.0004888	2	339	7227	7227.FBpp0077788,7227.FBpp0088443	smo,ptc	0.0035	0.0364	transmembrane signaling receptor activity
Function	GO.0005113	2	4	7227	7227.FBpp0077788,7227.FBpp0099945	smo,hh	9.27e-07	3.8900000000000004e-05	patched binding
Function	GO.0005515	4	2272	7227	7227.FBpp0077788,7227.FBpp0088245,7227.FBpp0088443,7227.FBpp0099945	smo,ci,ptc,hh	0.0007099999999999999	0.0149	protein binding
KEGG	dme04341	4	36	7227	7227.FBpp0077788,7227.FBpp0088245,7227.FBpp0088443,7227.FBpp0099945	smo,ci,ptc,hh	5.8200000000000003e-11	5.8200000000000003e-11	Hedgehog signaling pathway - fly
Keyword	KW-0217	4	599	7227	7227.FBpp0077788,7227.FBpp0088245,7227.FBpp0088443,7227.FBpp0099945	smo,ci,ptc,hh	3.47e-06	5.9e-05	Developmental protein
Keyword	KW-0709	3	21	7227	7227.FBpp0088245,7227.FBpp0088443,7227.FBpp0099945	ci,ptc,hh	1.79e-08	6.1e-07	Segmentation polarity protein
PMID	PMID.10352011	4	25	7227	7227.FBpp0077788,7227.FBpp0088245,7227.FBpp0088443,7227.FBpp0099945	smo,ci,ptc,hh	1.51e-11	2.04e-09	(1999) Heptahelical receptor signaling: beyond the G protein paradigm.
PMID	PMID.10457013	4	7	7227	7227.FBpp0077788,7227.FBpp0088245,7227.FBpp0088443,7227.FBpp0099945	smo,ci,ptc,hh	2.1e-13	4.58e-10	(1999) Differential requirements of the fused kinase for hedgehog signalling in the Drosophila embryo.
PMID	PMID.10983991	4	4	7227	7227.FBpp0077788,7227.FBpp0088245,7227.FBpp0088443,7227.FBpp0099945	smo,ci,ptc,hh	4.46e-14	4.58e-10	(2000) Posttranscriptional regulation of smoothened is part of a self-correcting mechanism in the Hedgehog signaling system.
PMID	PMID.11667962	4	15	7227	7227.FBpp0077788,7227.FBpp0088245,7227.FBpp0088443,7227.FBpp0099945	smo,ci,ptc,hh	2.4700000000000006e-12	7.46e-10	(2000) From fruitflies to mammals: mechanisms of signalling via the Sonic hedgehog pathway in lung development.
PMID	PMID.11734468	4	8	7227	7227.FBpp0077788,7227.FBpp0088245,7227.FBpp0088443,7227.FBpp0099945	smo,ci,ptc,hh	3.15e-13	4.58e-10	(2001) Do lung remodeling, repair, and regeneration recapitulate respiratory ontogeny?
PMID	PMID.12437769	4	4	7227	7227.FBpp0077788,7227.FBpp0088245,7227.FBpp0088443,7227.FBpp0099945	smo,ci,ptc,hh	4.46e-14	4.58e-10	(2002) Roughing up Smoothened: chemical modulators of hedgehog signaling.
PMID	PMID.12437772	4	16	7227	7227.FBpp0077788,7227.FBpp0088245,7227.FBpp0088443,7227.FBpp0099945	smo,ci,ptc,hh	3.0800000000000002e-12	8.800000000000001e-10	(2002) Small-molecule modulators of Hedgehog signaling: identification and characterization of Smoothened agonists and antagonists.
PMID	PMID.12874118	4	9	7227	7227.FBpp0077788,7227.FBpp0088245,7227.FBpp0088443,7227.FBpp0099945	smo,ci,ptc,hh	4.55e-13	4.58e-10	(2003) Smoothened translates Hedgehog levels into distinct responses.
PMID	PMID.14566027	4	9	7227	7227.FBpp0077788,7227.FBpp0088245,7227.FBpp0088443,7227.FBpp0099945	smo,ci,ptc,hh	4.55e-13	4.58e-10	(2003) Expression of hedgehog proteins in the human thymus.
PMID	PMID.15104233	4	7	7227	7227.FBpp0077788,7227.FBpp0088245,7227.FBpp0088443,7227.FBpp0099945	smo,ci,ptc,hh	2.1e-13	4.58e-10	(2004) Regulation of Hedgehog signaling: a complex story.
PMID	PMID.15123884	4	27	7227	7227.FBpp0077788,7227.FBpp0088245,7227.FBpp0088443,7227.FBpp0099945	smo,ci,ptc,hh	2.0000000000000002e-11	2.39e-09	(2004) Genetic Cross-Talk During Head Development in Drosophila.
PMID	PMID.15268766	4	12	7227	7227.FBpp0077788,7227.FBpp0088245,7227.FBpp0088443,7227.FBpp0099945	smo,ci,ptc,hh	1.16e-12	6.610000000000001e-10	(2004) The FU gene and its possible protein isoforms.
PMID	PMID.15547729	4	7	7227	7227.FBpp0077788,7227.FBpp0088245,7227.FBpp0088443,7227.FBpp0099945	smo,ci,ptc,hh	2.1e-13	4.58e-10	(2004) KIF27 is one of orthologs for Drosophila Costal-2.
PMID	PMID.16197551	4	20	7227	7227.FBpp0077788,7227.FBpp0088245,7227.FBpp0088443,7227.FBpp0099945	smo,ci,ptc,hh	6.7599999999999995e-12	1.29e-09	(2005) Differential range and activity of various forms of the Hedgehog protein.
PMID	PMID.17183721	4	26	7227	7227.FBpp0077788,7227.FBpp0088245,7227.FBpp0088443,7227.FBpp0099945	smo,ci,ptc,hh	1.74e-11	2.1899999999999997e-09	(2006) Wnt, Hedgehog and junctional Armadillobeta-catenin establish planar polarity in the Drosophila embryo.
PMID	PMID.17284519	4	5	7227	7227.FBpp0077788,7227.FBpp0088245,7227.FBpp0088443,7227.FBpp0099945	smo,ci,ptc,hh	8.02e-14	4.58e-10	(2007) A large complex containing Patched and Smoothened initiates Hedgehog signaling in Drosophila.
PMID	PMID.17658259	4	7	7227	7227.FBpp0077788,7227.FBpp0088245,7227.FBpp0088443,7227.FBpp0099945	smo,ci,ptc,hh	2.1e-13	4.58e-10	(2007) Evidence for a novel feedback loop in the Hedgehog pathway involving Smoothened and Fused.
PMID	PMID.17848995	4	22	7227	7227.FBpp0077788,7227.FBpp0088245,7227.FBpp0088443,7227.FBpp0099945	smo,ci,ptc,hh	9.52e-12	1.6e-09	(2007) An amphioxus Gli gene reveals conservation of midline patterning and the evolution of hedgehog signalling diversity in chordates.
PMID	PMID.18334026	4	22	7227	7227.FBpp0077788,7227.FBpp0088245,7227.FBpp0088443,7227.FBpp0099945	smo,ci,ptc,hh	9.52e-12	1.6e-09	(2008) Evolution of hedgehog and hedgehog-related genes, their origin from Hog proteins in ancestral eukaryotes and discovery of a novel Hint motif.
PMID	PMID.18378682	4	23	7227	7227.FBpp0077788,7227.FBpp0088245,7227.FBpp0088443,7227.FBpp0099945	smo,ci,ptc,hh	1.1199999999999999e-11	1.66e-09	(2008) Novel human glioma-associated oncogene 1 (GLI1) splice variants reveal distinct mechanisms in the terminal transduction of the hedgehog signal.
PMID	PMID.18392879	4	25	7227	7227.FBpp0077788,7227.FBpp0088245,7227.FBpp0088443,7227.FBpp0099945	smo,ci,ptc,hh	1.51e-11	2.04e-09	(2008) Hedgehog signaling pathway function conserved in Tribolium segmentation.
PMID	PMID.18488998	4	21	7227	7227.FBpp0077788,7227.FBpp0088245,7227.FBpp0088443,7227.FBpp0099945	smo,ci,ptc,hh	8.05e-12	1.4300000000000002e-09	(2008) Intraflagellar transport, cilia, and mammalian Hedgehog signaling: analysis in mouse embryonic fibroblasts.
PMID	PMID.18691888	4	28	7227	7227.FBpp0077788,7227.FBpp0088245,7227.FBpp0088443,7227.FBpp0099945	smo,ci,ptc,hh	2.29e-11	2.64e-09	(2008) Costal2 functions as a kinesin-like protein in the hedgehog signal transduction pathway.
PMID	PMID.18987629	4	22	7227	7227.FBpp0077788,7227.FBpp0088245,7227.FBpp0088443,7227.FBpp0099945	smo,ci,ptc,hh	9.52e-12	1.6e-09	(2008) G protein Galphai functions immediately downstream of Smoothened in Hedgehog signalling.
PMID	PMID.19004860	4	22	7227	7227.FBpp0077788,7227.FBpp0088245,7227.FBpp0088443,7227.FBpp0099945	smo,ci,ptc,hh	9.52e-12	1.6e-09	(2008) C2cd3 is required for cilia formation and Hedgehog signaling in mouse.
PMID	PMID.19040769	4	21	7227	7227.FBpp0077788,7227.FBpp0088245,7227.FBpp0088443,7227.FBpp0099945	smo,ci,ptc,hh	8.05e-12	1.4300000000000002e-09	(2008) The Hedgehog protein family.
PMID	PMID.19056373	4	22	7227	7227.FBpp0077788,7227.FBpp0088245,7227.FBpp0088443,7227.FBpp0099945	smo,ci,ptc,hh	9.52e-12	1.6e-09	(2009) Phosphorylation of Gli2 by protein kinase A is required for Gli2 processing and degradation and the Sonic Hedgehog-regulated mouse development.
PMID	PMID.19124651	4	24	7227	7227.FBpp0077788,7227.FBpp0088245,7227.FBpp0088443,7227.FBpp0099945	smo,ci,ptc,hh	1.2999999999999999e-11	1.8600000000000002e-09	(2009) Progenitor cell proliferation in the retina is dependent on Notch-independent Sonic hedgehogHes1 activity.
PMID	PMID.19365551	4	13	7227	7227.FBpp0077788,7227.FBpp0088245,7227.FBpp0088443,7227.FBpp0099945	smo,ci,ptc,hh	1.52e-12	6.610000000000001e-10	(2009) Smoothened adopts multiple active and inactive conformations capable of trafficking to the primary cilium.
PMID	PMID.19371734	4	18	7227	7227.FBpp0077788,7227.FBpp0088245,7227.FBpp0088443,7227.FBpp0099945	smo,ci,ptc,hh	4.66e-12	1.09e-09	(2009) Suppressor of Fused inhibits mammalian Hedgehog signaling in the absence of cilia.
PMID	PMID.19389352	4	24	7227	7227.FBpp0077788,7227.FBpp0088245,7227.FBpp0088443,7227.FBpp0099945	smo,ci,ptc,hh	1.2999999999999999e-11	1.8600000000000002e-09	(2009) Germ cell migration in zebrafish is cyclopamine-sensitive but Smoothened-independent.
PMID	PMID.19659647	4	25	7227	7227.FBpp0077788,7227.FBpp0088245,7227.FBpp0088443,7227.FBpp0099945	smo,ci,ptc,hh	1.51e-11	2.04e-09	(2009) Development, repair and fibrosis: what is common and why it matters.
PMID	PMID.19787036	4	12	7227	7227.FBpp0077788,7227.FBpp0088245,7227.FBpp0088443,7227.FBpp0099945	smo,ci,ptc,hh	1.16e-12	6.610000000000001e-10	(2009) Dynamic interpretation of hedgehog signaling in the Drosophila wing disc.
PMID	PMID.20362092	4	28	7227	7227.FBpp0077788,7227.FBpp0088245,7227.FBpp0088443,7227.FBpp0099945	smo,ci,ptc,hh	2.29e-11	2.64e-09	(2009) The primary cilium as a Hedgehog signal transduction machine.
PMID	PMID.20487519	4	15	7227	7227.FBpp0077788,7227.FBpp0088245,7227.FBpp0088443,7227.FBpp0099945	smo,ci,ptc,hh	2.4700000000000006e-12	7.46e-10	(2010) Gli2a protein localization reveals a role for IguanaDZIP1 in primary ciliogenesis and a dependence of Hedgehog signal transduction on primary cilia in the zebrafish.
PMID	PMID.20643350	4	26	7227	7227.FBpp0077788,7227.FBpp0088245,7227.FBpp0088443,7227.FBpp0099945	smo,ci,ptc,hh	1.74e-11	2.1899999999999997e-09	(2010) Role of lipid metabolism in smoothened derepression in hedgehog signaling.
PMID	PMID.20647470	4	16	7227	7227.FBpp0077788,7227.FBpp0088245,7227.FBpp0088443,7227.FBpp0099945	smo,ci,ptc,hh	3.0800000000000002e-12	8.800000000000001e-10	(2010) Hedgehog signaling regulates segment formation in the annelid Platynereis.
PMID	PMID.20687907	4	12	7227	7227.FBpp0077788,7227.FBpp0088245,7227.FBpp0088443,7227.FBpp0099945	smo,ci,ptc,hh	1.16e-12	6.610000000000001e-10	(2010) Vertebrate Hedgehog signaling: cilia rule.
PMID	PMID.20850015	4	18	7227	7227.FBpp0077788,7227.FBpp0088245,7227.FBpp0088443,7227.FBpp0099945	smo,ci,ptc,hh	4.66e-12	1.09e-09	(2010) Patterning axon targeting of olfactory receptor neurons by coupled hedgehog signaling at two distinct steps.
PMID	PMID.20850429	4	19	7227	7227.FBpp0077788,7227.FBpp0088245,7227.FBpp0088443,7227.FBpp0099945	smo,ci,ptc,hh	5.639999999999999e-12	1.21e-09	(2010) Costal 2 interactions with Cubitus interruptus (Ci) underlying Hedgehog-regulated Ci processing.
PMID	PMID.20956384	4	19	7227	7227.FBpp0077788,7227.FBpp0088245,7227.FBpp0088443,7227.FBpp0099945	smo,ci,ptc,hh	5.639999999999999e-12	1.21e-09	(2010) A mechanism for vertebrate Hedgehog signaling: recruitment to cilia and dissociation of SuFu-Gli protein complexes.
PMID	PMID.21044292	4	20	7227	7227.FBpp0077788,7227.FBpp0088245,7227.FBpp0088443,7227.FBpp0099945	smo,ci,ptc,hh	6.7599999999999995e-12	1.29e-09	(2010) Ihog and Boi are essential for Hedgehog signaling in Drosophila.
PMID	PMID.21098113	4	18	7227	7227.FBpp0077788,7227.FBpp0088245,7227.FBpp0088443,7227.FBpp0099945	smo,ci,ptc,hh	4.66e-12	1.09e-09	(2010) Drosophila Boi limits Hedgehog levels to suppress follicle stem cell proliferation.
PMID	PMID.21133842	4	17	7227	7227.FBpp0077788,7227.FBpp0088245,7227.FBpp0088443,7227.FBpp0099945	smo,ci,ptc,hh	3.81e-12	9.79e-10	(2010) Hedgehog signaling in hematopoiesis.
PMID	PMID.21203590	4	13	7227	7227.FBpp0077788,7227.FBpp0088245,7227.FBpp0088443,7227.FBpp0099945	smo,ci,ptc,hh	1.52e-12	6.610000000000001e-10	(2010) Visualization of Gli activity in craniofacial tissues of hedgehog-pathway reporter transgenic zebrafish.
