category	term	number_of_genes	number_of_genes_in_background	ncbiTaxonId	inputGenes	preferredNames	p_value	fdr	description
Component	GO.0000136	4	7	4932	4932.YEL036C,4932.YJL183W,4932.YJR075W,4932.YML115C	ANP1,MNN11,HOC1,VAN1	1.97e-11	8.67e-10	alpha-1,6-mannosyltransferase complex
Component	GO.0005783	4	674	4932	4932.YEL036C,4932.YGL055W,4932.YJL183W,4932.YML115C	ANP1,OLE1,MNN11,VAN1	0.00047999999999999996	0.0009599999999999999	endoplasmic reticulum
Component	GO.0005789	3	382	4932	4932.YEL036C,4932.YGL055W,4932.YML115C	ANP1,OLE1,VAN1	0.0017	0.003	endoplasmic reticulum membrane
Component	GO.0012505	5	1074	4932	4932.YEL036C,4932.YGL055W,4932.YJL183W,4932.YJR075W,4932.YML115C	ANP1,OLE1,MNN11,HOC1,VAN1	0.00011	0.00028	endomembrane system
Component	GO.0031301	5	191	4932	4932.YEL036C,4932.YGL055W,4932.YJL183W,4932.YJR075W,4932.YML115C	ANP1,OLE1,MNN11,HOC1,VAN1	2.04e-08	1.12e-07	integral component of organelle membrane
Component	GO.0031984	5	519	4932	4932.YEL036C,4932.YGL055W,4932.YJL183W,4932.YJR075W,4932.YML115C	ANP1,OLE1,MNN11,HOC1,VAN1	2.88e-06	1.15e-05	organelle subcompartment
Component	GO.0044444	5	3192	4932	4932.YEL036C,4932.YGL055W,4932.YJL183W,4932.YJR075W,4932.YML115C	ANP1,OLE1,MNN11,HOC1,VAN1	0.0248	0.0341	cytoplasmic part
Component	GO.0098827	3	389	4932	4932.YEL036C,4932.YGL055W,4932.YML115C	ANP1,OLE1,VAN1	0.0018	0.0031	endoplasmic reticulum subcompartment
Function	GO.0000030	2	39	4932	4932.YEL036C,4932.YJL183W	ANP1,MNN11	0.00036	0.0034	mannosyltransferase activity
Function	GO.0016757	3	97	4932	4932.YEL036C,4932.YJL183W,4932.YJR075W	ANP1,MNN11,HOC1	3.16e-05	0.0006	transferase activity, transferring glycosyl groups
InterPro	IPR029044	3	38	4932	4932.YEL036C,4932.YJR075W,4932.YML115C	ANP1,HOC1,VAN1	2.11e-06	1.4800000000000002e-05	Nucleotide-diphospho-sugar transferases
