category	term	number_of_genes	number_of_genes_in_background	ncbiTaxonId	inputGenes	preferredNames	p_value	fdr	description
Function	GO.0004834	2	2	511145	511145.b1260,511145.b1261	trpA,trpB	4.22e-06	0.00011999999999999999	tryptophan synthase activity
Function	GO.0016829	4	195	511145	511145.b1260,511145.b1261,511145.b1262,511145.b1263	trpA,trpB,trpC,trpD	5.23e-06	0.00011999999999999999	lyase activity
Function	GO.0016830	2	71	511145	511145.b1262,511145.b1263	trpC,trpD	0.0018	0.0152	carbon-carbon lyase activity
InterPro	IPR011060	2	12	511145	511145.b1260,511145.b1262	trpA,trpC	6.38e-05	0.0007	Ribulose-phosphate binding barrel
InterPro	IPR013785	2	72	511145	511145.b1260,511145.b1262	trpA,trpC	0.0019	0.0102	Aldolase-type TIM barrel
KEGG	eco00260	2	37	511145	511145.b1260,511145.b1261	trpA,trpB	0.0005099999999999999	0.00062	Glycine, serine and threonine metabolism
KEGG	eco00400	4	21	511145	511145.b1260,511145.b1261,511145.b1262,511145.b1263	trpA,trpB,trpC,trpD	1.0400000000000001e-09	6.26e-09	Phenylalanine, tyrosine and tryptophan biosynthesis
KEGG	eco01100	4	708	511145	511145.b1260,511145.b1261,511145.b1262,511145.b1263	trpA,trpB,trpC,trpD	0.00088	0.00088	Metabolic pathways
KEGG	eco01110	4	301	511145	511145.b1260,511145.b1261,511145.b1262,511145.b1263	trpA,trpB,trpC,trpD	2.9199999999999998e-05	4.3799999999999994e-05	Biosynthesis of secondary metabolites
KEGG	eco01130	4	209	511145	511145.b1260,511145.b1261,511145.b1262,511145.b1263	trpA,trpB,trpC,trpD	6.88e-06	1.3800000000000002e-05	Biosynthesis of antibiotics
KEGG	eco01230	4	116	511145	511145.b1260,511145.b1261,511145.b1262,511145.b1263	trpA,trpB,trpC,trpD	6.78e-07	2.03e-06	Biosynthesis of amino acids
Keyword	KW-0456	4	166	511145	511145.b1260,511145.b1261,511145.b1262,511145.b1263	trpA,trpB,trpC,trpD	2.77e-06	8.32e-06	Lyase
Keyword	KW-0511	2	47	511145	511145.b1262,511145.b1263	trpC,trpD	0.00081	0.002	Multifunctional enzyme
Keyword	KW-0822	4	5	511145	511145.b1260,511145.b1261,511145.b1262,511145.b1263	trpA,trpB,trpC,trpD	1.0400000000000001e-11	1.25e-10	Tryptophan biosynthesis
PMID	PMID.1094468	2	2	511145	511145.b1260,511145.b1261	trpA,trpB	4.22e-06	6.95e-05	(1975) An intercistronic region and ribosome-binding site in bacterial messenger RNA.
PMID	PMID.1102532	2	2	511145	511145.b1260,511145.b1261	trpA,trpB	4.22e-06	6.95e-05	(1975) Tryptophan synthetase alpha(5.7-S): novel molecular species formed within Escherichia coli.
PMID	PMID.11029579	2	2	511145	511145.b1260,511145.b1261	trpA,trpB	4.22e-06	6.95e-05	(2000) Biochemical analysis of a thermostable tryptophan synthase from a hyperthermophilic archaeon.
PMID	PMID.11209753	2	2	511145	511145.b1260,511145.b1261	trpA,trpB	4.22e-06	6.95e-05	(2000) Mutational scanning of a hairpin loop in the tryptophan synthase beta-subunit implicated in allostery and substrate channeling.
PMID	PMID.11806827	3	15	511145	511145.b1261,511145.b1262,511145.b1263	trpB,trpC,trpD	2.77e-07	6.02e-06	(2002) Significance of two distinct types of tryptophan synthase beta chain in Bacteria, Archaea and higher plants.
PMID	PMID.12011099	2	2	511145	511145.b1260,511145.b1261	trpA,trpB	4.22e-06	6.95e-05	(2002) Molecular basis defining human Chlamydia trachomatis tissue tropism. A possible role for tryptophan synthase.
PMID	PMID.12097161	2	3	511145	511145.b1260,511145.b1261	trpA,trpB	7.03e-06	8.02e-05	(2002) Effective structure of a leader open reading frame for enhancing the expression of GC-rich genes.
